River,Site,Material,Sample Date,Oyster Density
Newport,e,Granite,Oct-12,1782.39
Newport,e,Marl,Oct-12,1696.24
Newport,e,Marl,Oct-12,2087.68
Newport,e,Concrete,Oct-12,2145.476
Newport,e,Concrete,Oct-12,2090.93
Newport,e,Shell,Oct-12,874.388
Newport,e,Shell,Oct-12,1655.75992
North,a,Granite,Oct-12,0
North,a,Granite,Oct-12,0
North,a,Marl,Oct-12,18.64
North,a,Marl,Oct-12,9.32
North,a,Concrete,Oct-12,0
North,a,Concrete,Oct-12,0
North,a,Shell,Oct-12,27.906
North,a,Shell,Oct-12,18.604
North,b,Granite,Oct-12,0
North,b,Granite,Oct-12,0
North,b,Marl,Oct-12,37.28
North,b,Marl,Oct-12,74.56
North,b,Concrete,Oct-12,18.182
North,b,Concrete,Oct-12,27.273
North,b,Shell,Oct-12,37.208
North,b,Shell,Oct-12,37.208
North,c,Granite,Oct-12,37.524
North,c,Granite,Oct-12,272.049
North,c,Marl,Oct-12,167.76
North,c,Marl,Oct-12,102.52
North,c,Concrete,Oct-12,181.82
North,c,Concrete,Oct-12,527.278
North,c,Shell,Oct-12,390.684
North,c,Shell,Oct-12,158.134
North,d,Granite,Oct-12,103.191
North,d,Granite,Oct-12,9.381
North,d,Marl,Oct-12,195.72
North,d,Marl,Oct-12,139.8005168
North,d,Concrete,Oct-12,354.5488992
North,d,Concrete,Oct-12,372.731
North,d,Shell,Oct-12,186.04
North,d,Shell,Oct-12,232.5505158
North,e,Granite,Oct-12,356.478
North,e,Granite,Oct-12,197.001104
North,e,Marl,Oct-12,969.28
North,e,Marl,Oct-12,624.44
North,e,Concrete,Oct-12,472.732
North,e,Concrete,Oct-12,0
North,e,Shell,Oct-12,976.71
North,e,Shell,Oct-12,883.6905158
Newport,a,Granite,May-13,0
Newport,a,Granite,May-13,0
Newport,a,Marl,May-13,9.32
Newport,a,Marl,May-13,9.32
Newport,a,Concrete,May-13,45.455
Newport,a,Concrete,May-13,63.637
Newport,a,Shell,May-13,37.208
Newport,a,Shell,May-13,18.604
Newport,b,Granite,May-13,18.762
Newport,b,Granite,May-13,46.905
Newport,b,Marl,May-13,83.88
Newport,b,Marl,May-13,18.64
Newport,b,Concrete,May-13,54.546
Newport,b,Concrete,May-13,318.185
Newport,b,Shell,May-13,195.342
Newport,b,Shell,May-13,27.906
Newport,c,Granite,May-13,0
Newport,c,Granite,May-13,0
Newport,c,Marl,May-13,0
Newport,c,Marl,May-13,46.6
Newport,c,Concrete,May-13,27.273
Newport,c,Concrete,May-13,63.637
Newport,c,Shell,May-13,18.604
Newport,c,Shell,May-13,65.114
Newport,d,Granite,May-13,28.143
Newport,d,Granite,May-13,0
Newport,d,Marl,May-13,37.28
Newport,d,Marl,May-13,18.64
Newport,d,Concrete,May-13,290.912
Newport,d,Concrete,May-13,181.82
Newport,d,Shell,May-13,316.268
Newport,d,Shell,May-13,297.664
Newport,e,Granite,May-13,150.096
Newport,e,Granite,May-13,0
Newport,e,Marl,May-13,242.32
Newport,e,Marl,May-13,139.8
Newport,e,Concrete,May-13,836.372
Newport,e,Concrete,May-13,500.005
Newport,e,Shell,May-13,809.274
Newport,e,Shell,May-13,511.61
North,a,Granite,May-13,9.381
North,a,Granite,May-13,0
North,a,Marl,May-13,0
North,a,Marl,May-13,0
North,a,Concrete,May-13,9.091
North,a,Concrete,May-13,0
North,a,Shell,May-13,9.302
North,a,Shell,May-13,18.604
North,b,Granite,May-13,9.381
North,b,Granite,May-13,0
North,b,Marl,May-13,9.32
North,b,Marl,May-13,74.56
North,b,Concrete,May-13,0
North,b,Concrete,May-13,9.091
North,b,Shell,May-13,65.114
North,b,Shell,May-13,18.604
North,c,Granite,May-13,18.762
North,c,Granite,May-13,93.81
North,c,Marl,May-13,111.84
North,c,Marl,May-13,37.28
North,c,Concrete,May-13,163.638
North,c,Concrete,May-13,463.641
North,c,Shell,May-13,139.53
North,c,Shell,May-13,111.624
North,d,Granite,May-13,65.667
North,d,Granite,May-13,18.762
North,d,Marl,May-13,223.68
North,d,Marl,May-13,121.16
North,d,Concrete,May-13,181.82
North,d,Concrete,May-13,300.003
North,d,Shell,May-13,511.61
North,d,Shell,May-13,176.738
North,e,Granite,May-13,0
North,e,Granite,May-13,0
North,e,Marl,May-13,9.32
North,e,Marl,May-13,0
North,e,Concrete,May-13,9.091
North,e,Concrete,May-13,100.001
North,e,Shell,May-13,18.604
North,e,Shell,May-13,0
